역명,상세주소
서울,서울특별시 중구 봉래동2가 122 서울역(1호선)
시청,서울특별시 중구 정동 5-5 시청역(1호선)
종각,서울특별시 종로구 종로1가 54 종각지하철역사
종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선)
종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역
동대문,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선)
신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선)
제기동,서울특별시 동대문구 제기동 65 제기동역
청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역
동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선)
을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역
을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선)
을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선)
동대문역사문화공원,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선)
신당,서울특별시 중구 신당동 99 신당역(2호선)
상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역
왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선)
한양대,서울특별시 성동구 행당동 산17 17 한양대역
뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역
성수,서울특별시 성동구 성수동2가 300-1 성수역
건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선)
구의(광진구청),서울특별시 광진구 구의동 245-24 2호선 구의역
강변(동서울터미널),서울특별시 광진구 구의동 546-6 2호선 강변역
잠실나루,서울특별시 송파구 신천동 15 잠실나루역
잠실(송파구청),서울특별시 송파구 잠실동 8 잠실역(2호선)
잠실새내,서울특별시 송파구 잠실동 33 잠실새내역
종합운동장,서울특별시 송파구 잠실동 122 종합운동장역
삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역
선릉,서울특별시 강남구 삼성동 172-66 선릉역
역삼,서울특별시 강남구 역삼동 804 역삼역
강남,서울특별시 강남구 역삼동 858 강남역
교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(2호선)
서초,서울특별시 서초구 서초동 1748-5 서초역
방배,서울특별시 서초구 방배동 912-14 방배역
사당,서울특별시 동작구 사당동 1129 사당역(2호선)
낙성대,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사
서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역사
봉천,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사
신림,서울특별시 관악구 신림동 1467-10 2호선 신림역사
신대방,서울특별시 동작구 신대방동 643-1 신대방역 2호선
구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역
대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선)
신도림,서울특별시 구로구 신도림동 460-26 2호선 신도림역
문래,서울특별시 영등포구 문래동3가 68-1문래역
영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선)
당산,서울특별시 영등포구 당산동 6가 323-1 당산역
합정,서울특별시 마포구 서교동 393 합정역(2호선)
홍대입구,서울특별시 마포구 동교동 165 홍대입구역
신촌,서울특별시 마포구 노고산동 31-11 신촌역
이대,서울특별시 마포구 염리동 8-85 이대역
아현,서울특별시 마포구 아현동 354-23 아현역
충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선)
용답,서울특별시 성동구 용답동 127 용답역
신답,서울특별시 성동구 용답동 129-2 신답역
용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역
도림천,서울특별시 구로구 신도림동 323-16 도림천역
양천구청,서울특별시 양천구 신정동 276-7 양천구청역
신정네거리,서울특별시 양천구 신정동 1231 신정네거리역
까치산,서울특별시 강서구 화곡동 662-5 까치산역
지축,경기도 고양시 덕양구 지축동 818-64 3호선 지축역
구파발,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소
연신내,서울특별시 은평구 갈현동 397 연신내역(3호선)
불광,서울특별시 은평구 대조동 14-1 불광역(3호선)
녹번,서울특별시 은평구 녹번동 55 지하철3호선 녹번역
홍제,서울특별시 서대문구 홍제동 161-1 홍제역
무악재,서울특별시 서대문구 홍제동 26-1 무악재역
독립문,서울특별시 서대문구 현저동 101 독립문역
경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 3호선 경복궁역
안국,서울특별시 종로구 안국동 155-2 3호선 안국역
충무로,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)"
동대입구,서울특별시 중구 장충동2가 199-3 동대입구역 3호선
약수,서울특별시 중구 신당동 369-44 약수역(3호선)
금호,서울특별시 성동구 금호동4가 1470 금호역
옥수,서울특별시 성동구 옥수동 168-1 옥수역
압구정,서울특별시 강남구 신사동 668 압구정역
신사,서울특별시 강남구 신사동 667 신사역
잠원,서울특별시 서초구 잠원동 100-1 잠원역
고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선)
남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역
양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역
매봉,서울특별시 강남구 도곡동 179-2 매봉역
도곡,서울특별시 강남구 도곡동 339-2 도곡역
대치,서울특별시 강남구 대치동 317-3 대치역
학여울,서울특별시 강남구 대치동 514-3 학여울역
대청,서울특별시 강남구 일원동 700-9 대청역
일원,서울특별시 강남구 일원동 717 일원역
수서,서울특별시 강남구 수서동 728 수서역
가락시장,서울특별시 송파구 가락동 184-23 가락시장역
경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역
오금,서울특별시 송파구 오금동 44-2 오금역
당고개,서울특별시 노원구 상계동 111 당고개역
상계,서울특별시 노원구 상계동 156-203 상계역
노원,서울특별시 노원구 상계동 602-5 노원역(4호선)
창동,서울특별시 도봉구 창동 135-1 창동역
쌍문,서울특별시 도봉구 창동 703-4 쌍문역
수유(강북구청),서울특별시 강북구 수유동 140 수유역
미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역
미아사거리,서울특별시 강북구 미아동 66-1 미아사거리역
길음,서울특별시 성북구 길음동 877-66 길음역
성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역
한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역
혜화,서울특별시 종로구 명륜4가 96-5 4호선 혜화역
명동,서울특별시 중구 충무로2가 109-2 명동역 4호선
회현(남대문시장),서울특별시 중구 남창동 64-1 회현역 4호선
서울역,서울특별시 중구 용산구 동자동 14-151 서울역(4호선)
숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역
삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선)
신용산,서울특별시 용산구 한강로2가 181 4호선 신용산역
이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 4호선 이촌역
동작(현충원),서울특별시 동작구 동작동 327-1 4호선 동작역
총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대역4호선
남태령,서울특별시 서초구 방배동 2909 남태령역
방화,서울특별시 강서구 방화동 829-15 방화역
개화산,서울특별시 강서구 방화동 846 개화산역
김포공항,서울특별시 강서구 방화동 886 김포공항역
송정,서울특별시 강서구 공항동 29-5 송정역
마곡,서울특별시 강서구 가양동 530-6 마곡역
발산,서울특별시 강서구 가양동 967-3 발산역
우장산,서울특별시 강서구 화곡동 1089-3 우장산역
화곡,서울특별시 강서구 화곡동 1089-54 화곡역
신정(은행정),서울특별시 양천구 신정동 1090 신정역
목동,서울특별시 양천구 목동 926-3 목동역
오목교(목동운동장앞),서울특별시 양천구 목동 406-30 오목교역
양평,서울특별시 영등포구 양평동2가 33-79 양평역 
영등포시장,서울특별시 영등포구 영등포동5가 62-1 영등포시장역
신길,서울특별시 영등포구 영등포동1가 35 신길역
여의도,서울특별시 영등포구 여의도동 3 여의도역
여의나루,서울특별시 영등포구 여의도동 84-4 여의나루역
마포,서울특별시 마포구 도화동 160 마포역
공덕,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)"
애오개,서울특별시 마포구 아현동 612 애오개역
서대문,서울특별시 종로구 평동 210 서대문역
광화문(세종문화회관),서울특별시 종로구 세종로 1-90 광화문역
종로3가(탑골공원),서울특별시 종로구 낙원동 126 종로3가역(5호선)
청구,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)"
신금호,서울특별시 성동구 금호동2가 223-1 신금호역
행당,서울특별시 성동구 행당동 317-241 행당역
마장,서울특별시 성동구 마장동 772 마장역
답십리,서울특별시 성동구 용답동 99 답십리역
장한평,서울특별시 동대문구 장안동 472-3 장한평역
군자(능동),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)"
아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 아차산역
광나루(장신대),서울특별시 광진구 광장동 237 광나루역
천호(풍납토성),"서울특별시 강동구 천호동 455 천호역(5, 8호선)"
강동,서울특별시 강동구 천호동 447 강동역
길동,서울특별시 강동구 길동 378 길동역
굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역
명일,서울특별시 강동구 명일동 312 명일역
고덕,서울특별시 강동구 고덕동 310 고덕역
상일동,서울특별시 강동구 상일동 148 상일동역
