역명,상세주소,Latitude,Longitude
서울,서울특별시 중구 봉래동2가 122 서울역(1호선),37.5574069,126.9694999
시청,서울특별시 중구 정동 5-5 시청역(1호선),37.5657037,126.9768616
종각,서울특별시 종로구 종로1가 54 종각지하철역사,37.570178,126.983116
종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),37.570432,126.99219
종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,37.5708307,127.0023506
동대문,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),37.5717398,127.0111585
신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.5760874,127.0245602
제기동,서울특별시 동대문구 제기동 65 제기동역,37.5781758,127.0345907
청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역,37.5797844,127.0459903
동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.5733383,127.0162228
을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역,37.566065,126.982679
을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),37.56617,126.9902025
을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),37.56662,126.997631
동대문역사문화공원,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.5657177,127.0084849
신당,서울특별시 중구 신당동 99 신당역(2호선),37.5656465,127.0196049
상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역,37.56408,127.02986
왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선),37.5615,127.038526
한양대,서울특별시 성동구 행당동 산17 17 한양대역,37.5555961,127.0436859
뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역,37.5471773,127.0473802
성수,서울특별시 성동구 성수동2가 300-1 성수역,37.5445389,127.0569347
건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),37.5407618,127.0690169
구의(광진구청),서울특별시 광진구 구의동 245-24 2호선 구의역,37.5382826,127.0907553
강변(동서울터미널),서울특별시 광진구 구의동 546-6 2호선 강변역,37.535152,127.094689
잠실나루,서울특별시 송파구 신천동 15 잠실나루역,37.520669,127.103839
잠실(송파구청),서울특별시 송파구 잠실동 8 잠실역(2호선),37.515194,127.0948475
잠실새내,서울특별시 송파구 잠실동 33 잠실새내역,37.51145,127.08489
종합운동장,서울특별시 송파구 잠실동 122 종합운동장역,37.5110736,127.0742826
삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역,37.5088263,127.0630673
선릉,서울특별시 강남구 삼성동 172-66 선릉역,37.5088263,127.0630673
역삼,서울특별시 강남구 역삼동 804 역삼역,37.4981284,127.028303
강남,서울특별시 강남구 역삼동 858 강남역,37.4970172,127.0281681
교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(2호선),37.4887673,127.0190234
서초,서울특별시 서초구 서초동 1748-5 서초역,37.4927648,127.0105414
방배,서울특별시 서초구 방배동 912-14 방배역,37.4812965,126.9973202
사당,서울특별시 동작구 사당동 1129 사당역(2호선),37.4765394,126.9816401
낙성대,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,37.4711007,126.95999
서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역사,37.4811133,126.9526344
봉천,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,37.4825178,126.941481
신림,서울특별시 관악구 신림동 1467-10 2호선 신림역사,37.4897586,126.9230375
신대방,서울특별시 동작구 신대방동 643-1 신대방역 2호선,37.487344,126.9129889
구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역,37.4849804,126.90122
대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),37.4952642,126.8938131
신도림,서울특별시 구로구 신도림동 460-26 2호선 신도림역,37.5088341,126.8912091
문래,서울특별시 영등포구 문래동3가 68-1문래역,37.5178873,126.8947513
영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),37.5248203,126.8959946
당산,서울특별시 영등포구 당산동 6가 323-1 당산역,37.5349309,126.9027301
합정,서울특별시 마포구 서교동 393 합정역(2호선),37.5500077,126.9145039
홍대입구,서울특별시 마포구 동교동 165 홍대입구역,37.55692,126.92415
신촌,서울특별시 마포구 노고산동 31-11 신촌역,37.5551357,126.9368898
이대,서울특별시 마포구 염리동 8-85 이대역,37.5568129,126.9477118
아현,서울특별시 마포구 아현동 354-23 아현역,37.5558896,126.9556609
충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),37.5594926,126.9638176
용답,서울특별시 성동구 용답동 127 용답역,37.562132,127.0508327
신답,서울특별시 성동구 용답동 129-2 신답역,37.569889,127.04701
용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역,37.5738576,127.0379896
도림천,서울특별시 구로구 신도림동 323-16 도림천역,37.51447,126.88264
